fid,flooded_sum,cfevi_norm
580,4,0
581,8,0.28014198650132
582,2,0.0855989403198478
583,18,0.0311268873890356
584,1,0
585,9,0
586,5,0
587,6,0
588,16,0.112066543125974
589,1,0
590,1,0
591,5,0
592,5,0
593,4,0.0233451655417767
594,2,0.0933806621671067
595,4,0
596,6,0.0155634436945178
597,9,0
598,2,0
599,8,0.0408540396981092
600,1,0
601,2,0
602,2,0
603,2,0
604,6,0
605,1,0
606,2,0.0155634436945178
607,14,0.0233451655417767
608,12,0.0272360264654061
609,1,0.280166357814936
610,3,0
611,3,0
612,3,0
613,8,0
614,2,0.0136180132327031
615,11,0
616,4,0.280166357814936
617,7,0.138521960275293
618,5,0.0408540396981092
619,1,0
620,2,0.342395761279391
621,1,0.443558145293757
622,2,0
623,6,0.00778172184725889
624,22,0.056417483392627
625,1,0
626,4,0.0175088741563325
627,2,0
628,3,0
629,7,0.0764602914120418
630,1,0.160510198756523
631,12,0.136180132327031
632,1,0.0311268873890356
633,4,0
634,8,0.0612810595471638
635,13,0
636,2,0.175485139049773
637,5,0.0311268873890356
638,2,0
639,10,0
640,3,0
641,8,0
642,6,0
643,17,0.0340450330817577
644,4,0.00583629138544417
645,13,0.160510198756523
646,28,0.635231788409739
647,3,0
648,1,0
649,2,0
650,17,0.152139973507996
651,9,0
652,2,0
653,1,0
654,2,0.195335841154368
655,5,0
656,10,0.0116725827708883
657,13,0.0116725827708883
658,1,0
659,3,0.396700079609
660,6,0.0280166357814936
661,9,0.0756796820959543
662,1,0
663,9,0.00680900661635153
664,5,0.00680900661635153
665,11,0.0408540396981092
666,10,0
667,3,0
668,12,0.103696317877448
669,3,0.0136180132327031
670,14,0.230942092868301
671,6,0
672,7,0.00583629138544417
673,2,0
674,5,0
675,8,0
676,5,0
677,2,0
678,2,0
679,13,0.152920582824084
680,1,0.438334728623197
681,9,0
682,5,0
683,1,0
684,3,0
685,1,0
686,1,0.0688706754796028
687,2,0
688,4,0
689,5,0.0840499073444809
690,1,0
691,6,0
692,2,0
693,1,0
694,1,0.0778172184725889
695,2,0
696,11,0
697,1,0
698,17,0.0311268873890356
699,4,0
700,1,0
701,4,0
702,1,0.00778172184725889
703,6,0
704,3,0.324886887123059
705,1,0.591410860391676
706,2,0.0155634436945178
707,1,0.0155634436945178
708,1,0
709,2,0.0204270198490546
710,1,0
711,14,0.256616900701532
712,15,0.0764602914120418
713,3,0.0560332715629872
714,11,0.0900783046447449
715,5,0
716,2,0
717,1,0.116725827708883
718,14,0.0778172184725889
719,12,0.0855989403198478
720,8,0
721,7,0.00778172184725889
722,33,0.568065694849899
723,3,0.163416158792437
724,1,0.0855989403198478
725,2,0
726,1,0
727,9,0.378806993623028
728,2,0
729,2,0
730,3,0.0280166357814936
731,18,0.0968873112610964
732,13,0.250588503401268
733,9,0
734,3,0
735,3,0.112066543125974
736,8,0.384643285008472
737,15,0.0311268873890356
738,13,0.116725827708883
739,24,0.178979602486955
740,6,0.131316556172494
741,14,0.228792370834858
742,41,0.357959204973909
743,22,0.147852715097919
744,21,0.116725827708883
745,16,0.101162384014366
746,6,0.0155634436945178
747,24,0.147852715097919
748,20,0.186761324334213
749,8,0.0778172184725889
750,1,0
751,4,0
752,1,0
753,2,0
754,12,0.399041907557262
755,21,0.826100450896018
756,12,0.137741350959206
757,9,0.125684556358678
758,3,0
759,2,0
760,2,0
761,17,0.0840499073444809
762,6,0
763,9,0
764,9,0
765,2,0
766,5,0
767,8,0.00778172184725889
768,1,0
769,1,0
770,16,0.0379358940053871
771,20,0.155634436945178
772,72,0.583629138544417
773,2,0.00778172184725889
774,13,0
775,41,0.28014198650132
776,2,0
777,3,0
778,41,0.295705430195838
779,31,0.334614039432132
780,2,0
781,1,0.00778172184725889
782,1,0.14007099325066
783,1,0.0544720529308122
784,1,0.0155634436945178
785,4,0.540445456554853
786,3,0
787,6,0
788,10,0.204870887548622
789,13,0.19455523183828
790,9,0
791,9,0
792,2,0.0280166357814936
793,4,0.00778172184725889
794,5,0
795,55,0.435776423446498
796,19,0.147852715097919
797,2,0
798,8,0.0389086092362945
799,2,0.00778172184725889
800,16,0.0311268873890356
801,11,0.07003549662533
802,16,0.108944105861624
803,5,0.0778172184725889
804,1,0
805,4,0
806,2,0
807,3,0
808,2,0.00680900661635153
809,10,0.0840499073444809
810,1,0
811,7,0
812,2,0
813,2,0
814,12,0.264987125950058
815,2,0
816,3,0
817,2,0
818,1,0
819,14,0.0933806621671067
820,2,0
821,3,0.0155634436945178
822,67,0.529157085613605
823,14,0.0155634436945178
824,9,0.0534993376999049
825,79,0.641019337167951
826,48,0.326832317584873
827,2,0
828,5,0.00778172184725889
829,21,0.0622537747780711
830,82,0.684791522558783
831,41,0.319050595737615
832,9,0.14007099325066
833,9,0.429363814316594
834,1,0.163416158792437
835,3,0.0311268873890356
836,3,0.0136180132327031
837,7,0
838,1,0
839,6,0.0560332715629872
840,2,0
841,1,0.0560332715629872
842,3,0
843,6,0
844,12,0.0484436556305482
845,8,0.0696512847956903
846,6,0.0155634436945178
847,57,0.459121588988275
848,31,0.163416158792437
849,31,0.264578542806802
850,38,0.295705430195838
851,18,0.14007099325066
852,9,0.0389086092362945
853,13,0.0466903310835534
854,27,0.178979602486955
855,1,0.00778172184725889
856,7,0.0204270198490546
857,10,0.0690627813944227
858,23,0.0311268873890356
859,19,0.132289271403401
860,43,0.357959204973909
861,22,0.225669933570508
862,23,0.132289271403401
863,16,0.249015099112285
864,5,0.155634436945178
865,2,0.342395761279391
866,3,0.0233451655417767
867,1,0
868,4,0.0962988078598288
869,4,0
870,28,0.728432530318834
871,5,0.545153483764994
872,13,0.140083178907468
873,1,0.108944105861624
874,1,0.00778172184725889
875,5,0
876,4,0
877,10,0
878,13,0.0778172184725889
879,8,0.0155634436945178
880,40,0.256796820959543
881,65,0.552502251155381
882,64,0.536938807460864
883,11,0.0466903310835534
884,8,0
885,33,0.146879999867012
886,3,0.0778172184725889
887,1,0.07003549662533
888,28,0.178979602486955
889,11,0.0389086092362945
890,7,0
891,14,0
892,38,0.513593641919087
893,49,0.679363814316594
894,16,0.129767523197127
895,52,0.427994701599239
896,1,0
897,1,0
898,5,0
899,1,0
900,4,0
901,2,0
902,8,0.0389086092362945
903,16,0.07003549662533
904,21,0.147852715097919
905,3,0.00778172184725889
906,13,0.0855989403198478
907,10,0
908,8,0.0544720529308122
909,13,0.0155634436945178
910,16,0.0155634436945178
911,15,0
912,43,0.357959204973909
913,51,0.42021297975198
914,74,0.570983840542621
915,29,0.208161059414175
916,2,0
917,38,0.241233377265026
918,18,0.0778172184725889
919,1,0.0908589139608324
920,6,0
921,2,0
922,1,0.0466903310835534
923,36,0.311268873890356
924,46,0.389086092362945
925,11,0
926,12,0
927,8,0
928,6,0
929,4,0
930,14,0.0933806621671067
931,12,0.07003549662533
932,8,0
933,38,0.217888211723249
934,42,0.311268873890356
935,13,0.146879999867012
936,23,0.273332979884969
937,4,0
938,35,0.256796820959543
939,35,0.241233377265026
940,3,0.0145907284636104
941,15,0.0962988078598288
942,18,0.0389086092362945
943,26,0.163416158792437
944,1,0
945,33,0.239095840888391
946,3,0.0136180132327031
947,3,0
948,4,0
949,3,0.0155634436945178
950,5,0
951,2,0
952,24,0.14007099325066
953,46,0.342395761279391
954,2,0
955,9,0.00778172184725889
956,36,0.241233377265026
957,4,0
958,5,0
959,50,0.427994701599239
960,13,0.193774622522193
961,11,0.0233451655417767
962,11,0.0389086092362945
963,15,0.07003549662533
964,18,0.14007099325066
965,16,0.0340450330817577
966,12,0.0311268873890356
967,10,0
968,2,0.0136180132327031
969,3,0
970,14,0
971,1,0
972,34,0.241233377265026
973,32,0.21010648987599
974,20,0.0933806621671067
975,5,0.101162384014366
976,9,0
977,10,0.0544720529308122
978,15,0.0778172184725889
979,3,0.101162384014366
980,54,0.49024847637731
981,4,0
982,5,0
983,10,0
984,3,0
985,1,0
986,3,0
987,1,0
988,17,0.108944105861624
989,15,0.0311268873890356
990,6,0
991,13,0.0778172184725889
992,35,0.405250225115538
993,2,0.116725827708883
994,4,0
995,9,0
996,5,0
997,12,0.07003549662533
998,5,0.0155634436945178
999,16,0.0855989403198478
1000,30,0.186761324334213
1001,1,0
1002,8,0.07003549662533
1003,23,0.163416158792437
1004,15,0.0778172184725889
1005,4,0.0155634436945178
1006,12,0.0340450330817577
1007,9,0.0155634436945178
1008,10,0
1009,20,0.0778172184725889
1010,8,0.00778172184725889
1011,54,0.427994701599239
1012,12,0.0959145960301891
1013,5,0
1014,2,0
1015,51,0.404649536057462
